ENTITY	text:National Sports Center	qid:EL2580	docId:NYT_ENG_20071129.0148.LDC2009T13	url:http://en.wikipedia.org/wiki/National_Sports_Center
CONTEXT	season training regimen for road-bike racers, has a storied Cyclocross, invented nearly 100 years ago in Europe as an off- tradition and a worldwide following. Internationally, professional competition is administered by the Union Cycliste Internationale, the Swiss organization that also oversees the from Maine to Colorado to California. USA Cycling's season-ending held each year nationwide, many organized into regional series, Cyclocross National Championships this year are in Kansas City, Kan., Dec. 13 to 16.  The course, set on the grounds of the National Sports Center athletics campus, twisted and turned on grass at first, with little orange flags and police tape strung to sequester the 
CANDIDATE	url:http://en.wikipedia.org/wiki/United_Sports_Training_Center
CANDIDATE	url:http://en.wikipedia.org/wiki/Korea_National_Training_Center
CANDIDATE	url:http://en.wikipedia.org/wiki/National_Sports_Center
ENTITY	text:Communist Party of India (Marxist)	qid:EL1006	docId:AFP_ENG_20070811.0175.LDC2009T13	url:http://en.wikipedia.org/wiki/Communist_Party_of_India_(Marxist)
CONTEXT	 India's prime minister has dared communist allies to withdraw their support for the ruling Congress-led coalition if they are unhappy with a landmark Indo-US civilian nuclear deal. The communists, who prop up the ruling coalition, have rejected the deal as bringing New Delhi too close to the US and jeopardising India's strategic sovereignty. Later in the day, Singh sought to smooth over differences over the deal with the communists and dismissed chances the dispute might trigger a snap election. The Communist Party of India (Marxist), the biggest in the four- party Left bloc, had said in response to Singh's published remarks that the premier must realise the deal "is not acceptable "We do not share the optimism that India can become a great power with the help of the United States," Communist Party of India (Marxist) General Secretary Prakash Karat said in a statement. But in a sign that the communists wished to avoid a showdown, Karat did not repeat an earlier warning that the government would "have to pay a heavy political price" for the deal. Another senior communist member, Sitaram Yechury, attending a party meeting in the southern city of Hyderabad, downplayed Singh's challenge to withdraw support, according to the Press The communists say, however, that the deal would make India a strategic ally of the US, which would be "detrimental to the country." economy greater access to nuclear energy, has also been rejected atomic commerce after a three-decade gap, and give its burgeoning by the main opposition Hindu nationalist Bharatiya Janata Party (BJP). Trust of India. Calcutta-based Telegraph newspaper published on Saturday that the Prime Minister Manmohan Singh insisted in an interview with the technology pact, seen as a centrepiece of new, warmer US ties, would not be renegotiated. The accord, which seeks to bring India into the loop of global "There's not a snowball's chance in hell that they will withdraw support, they have no desire to pave the way for a return of the BJP," said veteran columnist Prem Shankar Jha. India's PM dares left to withdraw support over US nuclear deal India is a country with enough resources and self-confidence to carve out its own development path, he added. The nuclear agreement, clinched in Washington last month, has won universal praise from India's defence scientists who say national strategic interests have been safeguarded. The pact allows India to buy civilian nuclear technology while possessing nuclear weapons despite not adhering to the Nuclear Non-Proliferation Treaty. 
CANDIDATE	url:http://en.wikipedia.org/wiki/Babu_Rao_Mediyam
CANDIDATE	url:http://en.wikipedia.org/wiki/Susheela_Gopalan
CANDIDATE	url:http://en.wikipedia.org/wiki/Hannan_Mollah
CANDIDATE	url:http://en.wikipedia.org/wiki/K._Suresh_Kurup
CANDIDATE	url:http://en.wikipedia.org/wiki/N._N._Krishnadas
CANDIDATE	url:http://en.wikipedia.org/wiki/Communist_Party_of_India_(Marxist)
ENTITY	text:Department of Health and Human Services	qid:EL1265	docId:LTW_ENG_19950511.0116.LDC2007T07	url:http://en.wikipedia.org/wiki/United_States_Department_of_Health_and_Human_Services
CONTEXT	 The Department of Health and Human Services plans to reduce its work force by 2,400 jobs over five years, Vice President Gore and HHS Secretary Donna E. Shalala announced Thursday, with a large number of The reduction of 2,400 employees by 2000 is in addition to a cut of about 900 slots already proposed in the department's fiscal 1996 budget, officials said. The cuts at HHS are proportionately smaller than cuts the administration has made at the Department of Energy, The proposal, which came in a week jampacked with Republican proposals for deep slashes in the federal budget, is part of Gore's campaign to ``reinvent government.'' Reinvention plans have long been a key element in Clinton administration efforts to show that the White House Current employees would not lose their jobs as a result of these moves, Shalala said to loud applause from HHS employees gathered in the Hubert H. Humphrey Building. would be eliminated only through attrition. HHS in fiscal 1996 would employees through RIFs -- or reductions in force,'' said Shalala. Jobs have about 60,000 employees and a proposed budget of $331 billion. health grant and service programs into 16, which would have total Shalala announced that 723 jobs would be cut by consolidating 107 spending of about $2.4 billion a year. Many of these jobs are expected to be management positions. Another 400 jobs -- the bulk located in Washington -- would be eliminated by wiping out a whole level of management in the Office of the Secretary and the Office of Assistant Secretary for Health, and consolidating the two office staffs. Although Shalala did not offer specifics, HHS sources said another 1,000 or so jobs could turn out to be positions at the National Institutes of Health Clinical Center and other NIH facilities in The work force at the National Institutes of Health has fallen slightly in the past two years as a result of a general HHS policy of attrition and selective hiring. NIH employees number about 16,000. Shalala Thursday specifically asked the agency to study its hospital (or ``clinical center,'' as it's called) to see if some of its functions could be handled more efficiently by the private sector. The hospital has about 250 patients every day. where more than 27 percent of the work force will be eliminated, and HUD, which will be downsized by 25 percent. jobs coming from Public Health Service agencies in the Washington, D.C. metropolitan area. The streamlining plan would save $453 million by the year 2000. Although no decisions have been made on which jobs will be eliminated, Bethesda, Md. The cuts may result from a study that has been ordered to determine if various support functions for the clinical center can be ``privatized'' and contracted out to private firms. 
CANDIDATE	url:http://en.wikipedia.org/wiki/United_States_Department_of_Health_and_Human_Services
CANDIDATE	url:http://en.wikipedia.org/wiki/Oklahoma_State_Department_of_Health
CANDIDATE	url:http://en.wikipedia.org/wiki/United_States_Secretary_of_Health_and_Human_Services
ENTITY	text:HHS	qid:EL1614	docId:LTW_ENG_19950511.0116.LDC2007T07	url:http://en.wikipedia.org/wiki/United_States_Department_of_Health_and_Human_Services
CONTEXT	 Administration Proposes Cutting 2,400 HHS Jobs (Washn) The Department of Health and Human Services plans to reduce its work force by 2,400 jobs over five years, Vice President Gore and HHS Secretary Donna E. Shalala announced Thursday, with a large number of jobs coming from Public Health Service agencies in the Washington, Current employees would not lose their jobs as a result of these moves, Shalala said to loud applause from HHS employees gathered in the Hubert H. Humphrey Building. employees through RIFs -- or reductions in force,'' said Shalala. Jobs ``I believe we can accomplish these changes without separating would be eliminated only through attrition. HHS in fiscal 1996 would have about 60,000 employees and a proposed budget of $331 billion. Although Shalala did not offer specifics, HHS sources said another 1,000 or so jobs could turn out to be positions at the National Institutes of Health Clinical Center and other NIH facilities in The work force at the National Institutes of Health has fallen slightly in the past two years as a result of a general HHS policy of attrition and selective hiring. NIH employees number about 16,000. about 900 slots already proposed in the department's fiscal 1996 The reduction of 2,400 employees by 2000 is in addition to a cut of budget, officials said. The cuts at HHS are proportionately smaller than cuts the administration has made at the Department of Energy, where more than 27 percent of the work force will be eliminated, and 
CANDIDATE	url:http://en.wikipedia.org/wiki/Hueneme_High_School
CANDIDATE	url:http://en.wikipedia.org/wiki/Hutchinson_High_School_(Kansas)
CANDIDATE	url:http://en.wikipedia.org/wiki/Harlingen_High_School
CANDIDATE	url:http://en.wikipedia.org/wiki/Humble_High_School
CANDIDATE	url:http://en.wikipedia.org/wiki/Hurricane_High_School_(West_Virginia)
CANDIDATE	url:http://en.wikipedia.org/wiki/Hornby_High_School,_New_Zealand
ENTITY	text:ABC	qid:EL65	docId:AFP_ENG_20070129.0245.LDC2009T13	url:http://en.wikipedia.org/wiki/ABC_(newspaper)
CONTEXT	start making vigorous efforts to put pressure on the government," agreement with ETA after the (airport) explosion, they will now the newspaper ABC quoted police as saying. "So (police) are working on the theory that there will be new widespread attacks on the part of the armed group -- who will try to avoid, at least 
CANDIDATE	url:http://en.wikipedia.org/wiki/Who_Wants_to_Be_a_Millionaire_(US_game_show)
CANDIDATE	url:http://en.wikipedia.org/wiki/KIDK
CANDIDATE	url:http://en.wikipedia.org/wiki/KIVI
CANDIDATE	url:http://en.wikipedia.org/wiki/Me_and_Dad's_New_Wife
CANDIDATE	url:http://en.wikipedia.org/wiki/Doogie_Howser,_M.D.
CANDIDATE	url:http://en.wikipedia.org/wiki/Bargain_Hunters
CANDIDATE	url:http://en.wikipedia.org/wiki/This_Is_Tom_Jones
CANDIDATE	url:http://en.wikipedia.org/wiki/Star_Wars:_Ewoks
CANDIDATE	url:http://en.wikipedia.org/wiki/WPBN-TV
CANDIDATE	url:http://en.wikipedia.org/wiki/KATU
CANDIDATE	url:http://en.wikipedia.org/wiki/ABC_Kids_(United_States)
CANDIDATE	url:http://en.wikipedia.org/wiki/Duel_(U.S._game_show)
CANDIDATE	url:http://en.wikipedia.org/wiki/1967–68_NBA_season
CANDIDATE	url:http://en.wikipedia.org/wiki/WMBB
CANDIDATE	url:http://en.wikipedia.org/wiki/WPTA
CANDIDATE	url:http://en.wikipedia.org/wiki/KSNT
